title,first_submission_date,source_tag,source_detail,entry_type,trust_note
"The Road to Know-Where: An Object-and-Room Informed Sequential BERT for Indoor Vision-Language Navigation",2021-04-09,survey-citation,"seeded from trusted surveys and cross-checked with awesome-vln",core-paper,"trusted"
"Airbert: In-domain Pretraining for Vision-and-Language Navigation",2021-08-20,survey-citation,"seeded from trusted surveys and cross-checked with awesome-vln",core-paper,"trusted"
"SOAT: A Scene- and Object-Aware Transformer for Vision-and-Language Navigation",2021-10-27,survey-citation,"seeded from trusted surveys and cross-checked with awesome-vln",core-paper,"trusted"
"Landmark-RxR: Solving Vision-and-Language Navigation with Fine-Grained Alignment Supervision",2021-11-09,survey-citation,"seeded from trusted surveys and cross-checked with awesome-vln",core-paper,"currently using conference/openreview date; arXiv preprint not yet confirmed"
"EnvEdit: Environment Editing for Vision-and-Language Navigation",2022-03-29,survey-citation,"seeded from trusted surveys and cross-checked with awesome-vln",core-paper,"trusted"
"NavGPT: Explicit Reasoning in Vision-and-Language Navigation with Large Language Models",2023-05-26,survey-citation,"seeded from trusted surveys plus recent VLN survey",llm-era-paper,"trusted"
"PanoGen: Text-Conditioned Panoramic Environment Generation for Vision-and-Language Navigation",2023-05-30,survey-citation,"seeded from trusted surveys plus recent VLN survey",llm-era-paper,"trusted"
"AerialVLN: Vision-and-Language Navigation for UAVs",2023-08-13,survey-citation,"seeded from recent survey and maintained GitHub resources",aerial-vln-paper,"trusted"
"Towards Long-Horizon Vision-Language Navigation: Platform, Benchmark and Method",2024-12-12,survey-citation,"seeded from maintained GitHub resources and recent VLN search",long-horizon-paper,"trusted"
"AIGeN: An Adversarial Approach for Instruction Generation in VLN",2024-04-15,awesome-repo,"seeded from awesome-vln data-augmentation list and arXiv-first date verification",data-centric-paper,"trusted"
"Dialogue-enabled agents for embodied instruction following",2022-02-27,awesome-repo,"seeded from awesome-vln dialog list and arXiv-first date verification",dialog-paper,"trusted secondary"
"One Step at a Time: Long-Horizon Vision-and-Language Navigation with Milestones",2022-02-14,awesome-repo,"seeded from awesome-vln planning list and arXiv-first date verification",long-horizon-paper,"trusted"
"Curriculum Learning for Vision-and-Language Navigation",2021-11-14,awesome-repo,"seeded from awesome-vln curriculum list and arXiv-first date verification",curriculum-paper,"trusted"
"Waypoint Models for Instruction-guided Navigation in Continuous Environments",2021-10-05,awesome-repo,"seeded from awesome-vln planning list and arXiv-first date verification",continuous-env-planning-paper,"trusted"
"Task-driven Embodied Agents that Chat",2021-10-01,awesome-repo,"seeded from awesome-vln dialog list and arXiv-first date verification",dialog-embodied-agent-paper,"trusted secondary"
"SASRA: Semantically-aware Spatio-temporal Reasoning Agent for Vision-and-Language Navigation in Continuous Environments",2021-08-26,awesome-repo,"seeded from awesome-vln semantic-understanding list and arXiv-first date verification",continuous-env-paper,"trusted"
"Neighbor-view Enhanced Model for Vision and Language Navigation",2021-07-15,awesome-repo,"seeded from awesome-vln planning list and arXiv-first date verification",planning-paper,"trusted"
"Vision-Language Navigation with Random Environmental Mixup",2021-06-15,awesome-repo,"seeded from awesome-vln data-augmentation list and arXiv-first date verification",data-centric-paper,"trusted"
"Pathdreamer: A World Model for Indoor Navigation",2021-05-18,awesome-repo,"seeded from awesome-vln exploration list and arXiv-first date verification",world-model-paper,"trusted secondary"
"Diagnosing Vision-and-Language Navigation: What Really Matters",2021-03-30,awesome-repo,"seeded from awesome-vln semantic-understanding list and arXiv-first date verification",analysis-paper,"trusted"
"The RobotSlang Benchmark: Dialog-guided Robot Localization and Navigation",2020-10-23,awesome-repo,"seeded from awesome-vln dialog list and arXiv-first date verification",dialog-benchmark-paper,"trusted"
"Language and Visual Entity Relationship Graph for Agent Navigation",2020-10-19,awesome-repo,"seeded from awesome-vln graph-representation list and arXiv-first date verification",graph-paper,"trusted"
"Multilingual Vision-and-Language Navigation with Dense Spatiotemporal Grounding",2020-10-15,awesome-repo,"seeded from awesome-vln datasets list and arXiv-first date verification",multilingual-paper,"trusted"
"Learning to Stop: A Simple yet Effective Approach to Urban Vision-Language Navigation",2020-09-28,awesome-repo,"seeded from awesome-vln planning list and arXiv-first date verification",urban-planning-paper,"trusted"
"Object-and-Action Aware Model for Visual Language Navigation",2020-07-29,awesome-repo,"seeded from awesome-vln semantic-understanding list and arXiv-first date verification",representation-paper,"trusted"
"Evolving Graphical Planner: Contextual Global Planning for Vision-and-Language Navigation",2020-07-11,awesome-repo,"seeded from awesome-vln graph-representation list and arXiv-first date verification",planning-paper,"trusted"
"Environment-agnostic Multitask Learning for Natural Language Grounded Navigation",2020-03-01,awesome-repo,"seeded from awesome-vln multitask list and arXiv-first date verification",multitask-paper,"trusted"
"RMM: A Recursive Mental Model for Dialog Navigation",2020-05-02,awesome-repo,"seeded from awesome-vln asking-for-help list and arXiv-first date verification",dialog-reasoning-paper,"trusted"
"Cross-Lingual Vision-Language Navigation",2019-10-24,awesome-repo,"seeded from awesome-vln datasets list and arXiv-first date verification",multilingual-paper,"trusted"
"Counterfactual Vision-and-Language Navigation via Adversarial Path Sampling",2019-11-17,awesome-repo,"seeded from awesome-vln data-augmentation list and arXiv-first date verification",data-centric-paper,"trusted"
"General Evaluation for Instruction Conditioned Navigation using Dynamic Time Warping",2019-07-11,awesome-repo,"seeded from awesome-vln evaluation list and arXiv-first date verification",evaluation-paper,"trusted"
"Navigating New York City through Grounded Dialogue",2018-07-09,awesome-repo,"seeded from awesome-vln dialog list and arXiv-first date verification",dialog-navigation-paper,"trusted secondary"
"Embodied Vision-and-Language Navigation with Dynamic Convolutional Filters",2019-07-05,awesome-repo,"seeded from awesome-vln semantic-understanding list and arXiv-first date verification",representation-paper,"trusted"
"Chasing Ghosts: Instruction Following as Bayesian State Tracking",2019-07-03,awesome-repo,"seeded from awesome-vln graph-representation list and arXiv-first date verification",graph-state-paper,"trusted"
"The Streetlearn Environment and Dataset",2019-03-04,awesome-repo,"seeded from awesome-vln datasets list and arXiv-first date verification",dataset-paper,"trusted secondary"
"Learning To Follow Directions in Street View",2019-03-01,awesome-repo,"seeded from awesome-vln datasets list and arXiv-first date verification",urban-navigation-paper,"trusted secondary"
"Vision-based Navigation with Language-based Assistance via Imitation Learning with Indirect Intervention",2018-12-10,awesome-repo,"seeded from awesome-vln guidance list and arXiv-first date verification",guidance-paper,"trusted"
"Mapping Instructions to Actions in 3D Environments with Visual Goal Prediction",2018-09-04,awesome-repo,"seeded from awesome-vln datasets list and arXiv-first date verification",dataset-task-paper,"trusted"
"On Evaluation of Embodied Navigation Agents",2018-07-18,awesome-repo,"seeded from awesome-vln evaluation list and arXiv-first date verification",evaluation-paper,"trusted"
"Following High-level Navigation Instructions on a Simulated Quadcopter with Imitation Learning",2018-05-31,awesome-repo,"seeded from awesome-vln datasets list and arXiv-first date verification",aerial-precursor-paper,"trusted"
"Iqa: Visual Question Answering in Interactive Environments",2017-12-09,awesome-repo,"seeded from awesome-vln datasets list and arXiv-first date verification",embodied-qa-boundary-paper,"trusted secondary"
"LiveVLN: Breaking the Stop-and-Go Loop in Vision-Language Navigation",2026-04-21,arxiv-search,"seeded from targeted arXiv search for recent continuous VLN work",continuous-vln-paper,"trusted"
"VLNVerse: A Benchmark for Vision-Language Navigation with Versatile, Embodied, Realistic Simulation and Evaluation",2025-12-22,arxiv-search,"seeded from targeted arXiv search for recent benchmark-era VLN work",benchmark-paper,"trusted"
"JanusVLN: Decoupling Semantics and Spatiality with Dual Implicit Memory for Vision-Language Navigation",2025-09-26,arxiv-search,"seeded from targeted arXiv search for recent memory-centric VLN work",memory-paper,"trusted"
"VLN-Zero: Rapid Exploration and Cache-Enabled Neurosymbolic Vision-Language Planning for Zero-Shot Transfer in Robot Navigation",2025-09-23,arxiv-search,"seeded from targeted arXiv search and validated with the project page",foundation-model-paper,"trusted"
"StreamVLN: Streaming Vision-and-Language Navigation via SlowFast Context Modeling",2025-07-07,arxiv-search,"seeded from targeted arXiv search for streaming and continuous VLN",continuous-vln-paper,"trusted"
"MapNav: A Novel Memory Representation via Annotated Semantic Maps for Vision-and-Language Navigation",2025-02-19,arxiv-search,"seeded from targeted arXiv search for map- and memory-based VLN",map-memory-paper,"trusted"
"Towards Realistic UAV Vision-Language Navigation: Platform, Benchmark, and Methodology",2024-10-09,arxiv-search,"seeded from targeted arXiv search for UAV VLN",uav-benchmark-paper,"trusted"
"Affordances-Oriented Planning using Foundation Models for Continuous Vision-Language Navigation",2024-07-08,arxiv-search,"seeded from targeted arXiv search for continuous VLN with foundation models",foundation-model-paper,"trusted"
"Target-Grounded Graph-Aware Transformer for Aerial Vision-and-Dialog Navigation",2023-08-22,arxiv-search,"seeded from targeted arXiv search around aerial dialog navigation",aerial-dialog-paper,"trusted"
"Aerial Vision-and-Dialog Navigation",2022-05-24,awesome-repo,"seeded from awesome-vln dialog section and arXiv-first date verification",aerial-dialog-paper,"trusted"
"History Aware Multimodal Transformer for Vision-and-Language Navigation",2021-10-25,awesome-repo,"seeded from awesome-vln memory-augmented list and arXiv-first date verification",memory-paper,"trusted"
"Language-Aligned Waypoint (LAW) Supervision for Vision-and-Language Navigation in Continuous Environments",2021-09-30,arxiv-search,"seeded from targeted arXiv search for continuous VLN supervision",continuous-vln-paper,"trusted"
"Rethinking the Spatial Route Prior in Vision-and-Language Navigation",2021-10-12,arxiv-search,"seeded from targeted arXiv search for route-prior VLN work",route-prior-paper,"trusted"
"Hierarchical Cross-Modal Agent for Robotics Vision-and-Language Navigation",2021-04-21,arxiv-search,"seeded from awesome-vln benchmark section and arXiv-first date verification",robotics-vln-paper,"trusted"
"Scene-Intuitive Agent for Remote Embodied Visual Grounding",2021-03-24,arxiv-search,"seeded from awesome-vln remote-grounding list and arXiv-first date verification",remote-grounding-paper,"trusted"
"On the Evaluation of Vision-and-Language Navigation Instructions",2021-01-26,arxiv-search,"seeded from targeted arXiv search for instruction-evaluation work",evaluation-paper,"trusted"
"Language-guided Navigation via Cross-Modal Grounding and Alternate Adversarial Learning",2020-11-22,awesome-repo,"seeded from awesome-vln representation-learning list and arXiv-first date verification",representation-paper,"trusted"
"Diagnosing the Environment Bias in Vision-and-Language Navigation",2020-05-06,arxiv-search,"seeded from targeted arXiv search for generalization and bias diagnosis work",analysis-paper,"trusted"
"Vision-Dialog Navigation by Exploring Cross-modal Memory",2020-03-15,awesome-repo,"seeded from awesome-vln dialog section and arXiv-first date verification",dialog-paper,"trusted"
"Multi-View Learning for Vision-and-Language Navigation",2020-03-02,arxiv-search,"seeded from targeted arXiv search for multi-view VLN learning",representation-paper,"trusted"
"Sub-Instruction Aware Vision-and-Language Navigation",2020-04-06,arxiv-search,"seeded from targeted arXiv search for fine-grained instruction supervision",instruction-granularity-paper,"trusted"
"Multimodal Text Style Transfer for Outdoor Vision-and-Language Navigation",2020-07-01,awesome-repo,"seeded from awesome-vln data-centric list and arXiv-first date verification",urban-language-paper,"trusted"
"Vision-Language Navigation with Self-Supervised Auxiliary Reasoning Tasks",2019-11-18,awesome-repo,"seeded from awesome-vln auxiliary-tasks list and arXiv-first date verification",auxiliary-task-paper,"trusted"
"Perceive, transform, and act: Multi-modal attention networks for vision-and-language navigation",2019-11-27,awesome-repo,"seeded from awesome-vln representation-learning list and arXiv-first date verification",representation-paper,"trusted"
"Talk2Nav: Long-Range Vision-and-Language Navigation with Dual Attention and Spatial Memory",2019-10-04,awesome-repo,"seeded from awesome-vln datasets section and arXiv-first date verification",urban-navigation-paper,"trusted"
"Transferable Representation Learning in Vision-and-Language Navigation",2019-08-09,awesome-repo,"seeded from awesome-vln representation-learning list and arXiv-first date verification",representation-paper,"trusted"
"Stay on the Path: Instruction Fidelity in Vision-and-Language Navigation",2019-05-29,awesome-repo,"seeded from awesome-vln datasets and evaluation sections and arXiv-first date verification",evaluation-paper,"trusted"
"Multi-modal Discriminative Model for Vision-and-Language Navigation",2019-05-31,awesome-repo,"seeded from awesome-vln representation-learning list and arXiv-first date verification",representation-paper,"trusted"
"Embodied Multimodal Multitask Learning",2019-02-04,arxiv-search,"seeded from targeted arXiv search for multitask embodied navigation work",multitask-paper,"trusted secondary"
"From language to goals: Inverse reinforcement learning for vision-based instruction following",2019-02-20,awesome-repo,"seeded from awesome-vln reinforcement-learning list and arXiv-first date verification",reinforcement-learning-paper,"trusted"
"Touchdown: Natural Language Navigation and Spatial Reasoning in Visual Street Environments",2018-11-29,awesome-repo,"seeded from awesome-vln datasets and evaluation sections and arXiv-first date verification",urban-benchmark-paper,"trusted"
"Reinforced Cross-Modal Matching and Self-Supervised Imitation Learning for Vision-Language Navigation",2018-11-25,awesome-repo,"seeded from awesome-vln reinforcement-learning list and arXiv-first date verification",reinforcement-learning-paper,"trusted"
"Look Before You Leap: Bridging Model-Free and Model-Based Reinforcement Learning for Planned-Ahead Vision-and-Language Navigation",2018-03-21,awesome-repo,"seeded from awesome-vln reinforcement-learning list and arXiv-first date verification",reinforcement-learning-paper,"trusted"
